#105000
#time	magnetization	energy	
0	0.954000	-1.872200
1	0.956600	-1.877200
2	0.953400	-1.870400
3	0.962600	-1.884800
4	0.955800	-1.876200
5	0.958600	-1.880600
6	0.959800	-1.876000
7	0.950600	-1.865200
8	0.952000	-1.866400
9	0.953800	-1.870000
10	0.950600	-1.868000
11	0.959800	-1.879600
12	0.959200	-1.881000
13	0.955600	-1.873000
14	0.948600	-1.866400
15	0.960200	-1.878800
16	0.954800	-1.872800
17	0.952400	-1.869800
18	0.947800	-1.864400
19	0.945800	-1.863800
20	0.955400	-1.874600
21	0.965400	-1.887600
22	0.959400	-1.876400
23	0.959000	-1.880400
24	0.958200	-1.875200
25	0.957600	-1.876800
26	0.950000	-1.868400
27	0.949400	-1.865200
28	0.950600	-1.867000
29	0.951600	-1.870600
30	0.969800	-1.895600
31	0.962600	-1.883600
32	0.957400	-1.873600
33	0.951000	-1.863400
34	0.949000	-1.866000
35	0.953800	-1.869000
36	0.954000	-1.874600
37	0.954600	-1.869200
38	0.957800	-1.877600
39	0.952400	-1.866600
40	0.961000	-1.879200
41	0.954800	-1.871600
42	0.947600	-1.864000
43	0.962200	-1.881400
44	0.952400	-1.868600
45	0.955600	-1.872000
46	0.953600	-1.875600
47	0.957800	-1.878200
48	0.951000	-1.865000
49	0.959600	-1.878600
50	0.958000	-1.875200
51	0.947200	-1.859600
52	0.959600	-1.876200
53	0.959400	-1.877000
54	0.961800	-1.880400
55	0.960400	-1.878400
56	0.945400	-1.859800
57	0.953800	-1.868000
58	0.957000	-1.874400
59	0.958400	-1.878400
60	0.953600	-1.873000
61	0.945800	-1.861600
62	0.949200	-1.866400
63	0.957200	-1.873600
64	0.954800	-1.875000
65	0.957800	-1.877600
66	0.953400	-1.872000
67	0.941600	-1.857000
68	0.960600	-1.880000
69	0.959000	-1.878200
70	0.951800	-1.869600
71	0.954600	-1.872800
72	0.956200	-1.874000
73	0.945200	-1.865000
74	0.951400	-1.867600
75	0.954000	-1.873800
76	0.953600	-1.868600
77	0.960800	-1.880400
78	0.964600	-1.887000
79	0.962200	-1.882200
80	0.956200	-1.873200
81	0.956000	-1.876400
82	0.960000	-1.877200
83	0.965200	-1.887200
84	0.955200	-1.876200
85	0.956200	-1.873800
86	0.959200	-1.875200
87	0.959000	-1.878400
88	0.957600	-1.874400
89	0.952000	-1.867400
90	0.957200	-1.872800
91	0.948400	-1.866400
92	0.962800	-1.880400
93	0.955600	-1.877000
94	0.958000	-1.877800
95	0.958000	-1.876600
96	0.959200	-1.878600
97	0.959400	-1.879800
98	0.951400	-1.868600
99	0.946600	-1.865200
100	0.950800	-1.868800
101	0.947000	-1.864400
102	0.952400	-1.869000
103	0.942000	-1.855600
104	0.958800	-1.876200
105	0.954800	-1.874600
106	0.960600	-1.879200
107	0.946800	-1.861000
108	0.961400	-1.882200
109	0.953400	-1.872000
110	0.955600	-1.877600
111	0.948200	-1.863600
112	0.956400	-1.874600
113	0.956800	-1.875800
114	0.957800	-1.874600
115	0.953600	-1.872000
116	0.952600	-1.871600
117	0.949200	-1.862600
118	0.954000	-1.870400
119	0.951400	-1.868000
120	0.961400	-1.881600
121	0.956200	-1.873600
122	0.960600	-1.881000
123	0.949400	-1.866600
124	0.959400	-1.877000
125	0.957000	-1.875400
126	0.955200	-1.875000
127	0.950400	-1.868000
128	0.949800	-1.871800
129	0.953800	-1.870800
130	0.964800	-1.887400
131	0.951800	-1.868200
132	0.946600	-1.858600
133	0.947000	-1.866400
134	0.950800	-1.871000
135	0.951400	-1.867600
